Headline,Description,URL,Scraped_Date,Scraped_Time,Source
US & Canada,N/A,https://www.bbc.com/news/us-canada,2026-07-16,13:13:22,BBC News - Live Scrape
Australia,N/A,https://www.bbc.com/news/world/australia,2026-07-16,13:13:22,BBC News - Live Scrape
Latin America,N/A,https://www.bbc.com/news/world/latin_america,2026-07-16,13:13:22,BBC News - Live Scrape
Middle East,N/A,https://www.bbc.com/news/world/middle_east,2026-07-16,13:13:22,BBC News - Live Scrape
In Pictures,N/A,https://www.bbc.com/news/in_pictures,2026-07-16,13:13:22,BBC News - Live Scrape
BBC InDepth,N/A,https://www.bbc.com/news/bbcindepth,2026-07-16,13:13:22,BBC News - Live Scrape
BBC Verify,N/A,https://www.bbc.com/news/bbcverify,2026-07-16,13:13:22,BBC News - Live Scrape
UK Politics,N/A,https://www.bbc.com/news/politics,2026-07-16,13:13:22,BBC News - Live Scrape
N. Ireland,N/A,https://www.bbc.com/news/northern_ireland,2026-07-16,13:13:22,BBC News - Live Scrape
N. Ireland Politics,N/A,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,2026-07-16,13:13:22,BBC News - Live Scrape
Scotland,N/A,https://www.bbc.com/news/scotland,2026-07-16,13:13:22,BBC News - Live Scrape
Scotland Politics,N/A,https://www.bbc.com/news/scotland/scotland_politics,2026-07-16,13:13:22,BBC News - Live Scrape
Wales Politics,N/A,https://www.bbc.com/news/wales/wales_politics,2026-07-16,13:13:22,BBC News - Live Scrape
"Iran targets military bases as US launches wave of strikesExplosions were heard across Iran overnight, shortly after neighbouring Gulf states began to report attacks.24 mins agoWorld",Iran targets military bases as US launches wave of strikes,https://www.bbc.com/news/articles/c2lq1ed28jxo,2026-07-16,13:13:22,BBC News - Live Scrape
"Actor Sam Neill died from pneumonia, agent confirmsNeill died in Sydney on Monday, with his family saying his death was 'sudden and unexpected'.4 hrs agoAustralia","Actor Sam Neill died from pneumonia, agent confirms",https://www.bbc.com/news/articles/cddj7e8v767o,2026-07-16,13:13:22,BBC News - Live Scrape
What if Bluey spoke one of the world's oldest living languages?Five episodes of the award-winning children’s cartoon have been released in Australian Indigenous language for the first time.14 hrs agoAustralia,What if Bluey spoke one of the world's oldest living languages?,https://www.bbc.com/news/videos/c07y7r91vz9o,2026-07-16,13:13:22,BBC News - Live Scrape
Indian activist urged to end hunger strike as he loses 9.1kg in 19 daysThe environmental activist has been on a hunger strike for 19 days and has visibly weakened.4 hrs agoAsia,Indian activist urged to end hunger strike as he loses 9.1kg in 19 days,https://www.bbc.com/news/articles/crm0mg4z7edo,2026-07-16,13:13:22,BBC News - Live Scrape
"'I must get out into the free world', dissident who fled China on boat tells BBCDong Guangping, who has resettled in Canada, recounts his perilous escape from China to South Korea.10 hrs agoAsia","'I must get out into the free world', dissident who fled China on boat tells BBC",https://www.bbc.com/news/articles/cm2j2jw117lo,2026-07-16,13:13:22,BBC News - Live Scrape
Crackdown on 'objectionable' books in Indian-administered Kashmir sparks rowAuthorities in Indian-administered Kashmir have asked educational institutions to review every book on their premises.10 hrs agoAsia,Crackdown on 'objectionable' books in Indian-administered Kashmir sparks row,https://www.bbc.com/news/articles/c0jyj292xdgo,2026-07-16,13:13:22,BBC News - Live Scrape
Bangkok's bar fire is the city's latest deadly blaze - will anything ever change?,N/A,https://www.bbc.com/news/articles/cd6e68n3jz5o,2026-07-16,13:13:22,BBC News - Live Scrape
