iter	Passed	Remaining
0	12	1198
1	29	1461
2	46	1489
3	59	1420
4	67	1277
5	79	1250
6	91	1211
7	103	1187
8	115	1164
9	128	1154
10	142	1152
11	153	1125
12	165	1105
13	177	1089
14	190	1077
15	204	1074
16	220	1076
17	231	1052
18	242	1032
19	253	1012
20	264	996
21	276	980
22	287	962
23	297	943
24	310	931
25	321	916
26	334	905
27	345	887
28	356	872
29	367	856
30	377	839
31	388	826
32	400	813
33	411	798
34	425	789
35	436	775
36	446	760
37	457	745
38	467	731
39	478	718
40	489	703
41	501	692
42	512	679
43	524	667
44	535	654
45	546	641
46	557	628
47	568	615
48	580	604
49	591	591
50	601	578
51	615	567
52	626	555
53	638	543
54	649	531
55	660	519
56	671	506
57	685	496
58	696	483
59	707	471
60	719	459
61	731	448
62	743	436
63	754	424
64	765	412
65	776	400
66	788	388
67	798	375
68	811	364
69	822	352
70	833	340
71	846	329
72	858	317
73	869	305
74	879	293
75	891	281
76	903	269
77	913	257
78	927	246
79	938	234
80	951	223
81	962	211
82	973	199
83	984	187
84	994	175
85	1007	163
86	1019	152
87	1029	140
88	1041	128
89	1053	117
90	1064	105
91	1075	93
92	1087	81
93	1098	70
94	1108	58
95	1120	46
96	1132	35
97	1142	23
98	1154	11
99	1166	0
